DYNAMIXEL Graph,2
MX-12W,360
ItemCount,4
Realtime Tick,#000000,0,1,0
Present Speed,#ffff00,0,1,0
Goal Position,#ff0000,0,1,0
Present Position,#0055ff,0,1,0
Time[ms],Realtime Tick,Present Speed,Goal Position,Present Position
9972,30708,1046,4090,640
9990,30726,1045,4090,618
10004,30740,1043,4090,602
10030,30766,1043,4090,571
10040,30776,1043,4090,559
10052,30788,1043,4090,544
10070,30806,1044,4090,520
10084,30820,1046,4090,501
10110,30846,1044,4090,469
10120,30856,1043,4090,458
10133,30869,1042,4090,442
10148,30884,1043,4090,425
10170,30906,1043,4090,398
10180,30916,1044,4090,384
10196,30932,1045,4090,362
10220,30956,1045,4090,331
10230,30966,1044,4090,320
10244,30980,1043,4090,303
10270,31006,1043,4090,273
10281,31017,1043,4090,258
10292,31028,1045,4090,243
10310,31046,1045,4090,220
10324,31060,1045,4090,201
10350,31086,1043,4090,170
10359,31095,1042,4090,161
10372,31108,1042,4090,145
10389,31125,1043,4090,124
10404,31140,1044,4090,104
10420,31156,1045,4090,84
10436,31172,1046,4090,62
10460,31196,1043,4090,34
10470,31206,1042,4090,23
10485,31221,1042,4090,4
10500,31236,1043,4090,4083
10520,31256,1043,4090,4056
10532,31268,1044,4090,4039
10550,31286,1044,4090,4016
10564,31300,1043,4090,4000
10590,31326,1043,4090,3969
10600,31336,1043,4090,3958
10612,31348,1044,4090,3942
10630,31366,1045,4090,3918
10644,31380,1045,4090,3900
10660,31396,1045,4090,3879
10680,31416,1043,4090,3856
10692,31428,1042,4090,3842
10710,31446,1043,4090,3821
10724,31460,1044,4090,3803
10740,31476,1044,4090,3783
10760,31496,1045,4090,3756
10772,31508,1045,4090,3741
10790,31526,1044,4090,3718
10804,31540,1043,4090,3702
10830,31566,1043,4090,3671
10840,31576,1044,4090,3659
10852,31588,1044,4090,3643
10870,31606,1044,4090,3621
10885,31621,1044,4090,3604
10910,31646,1044,4090,3572
10920,31656,1043,4090,3560
10932,31668,1043,4090,3546
10950,31686,1043,4090,3524
10964,31700,1044,4090,3506
10990,31726,1043,4090,3474
11000,31736,1045,4090,3459
11012,31748,1045,4090,3444
11028,31764,1043,4090,3425
11050,31786,1043,4090,3399
11061,31797,1043,4090,3385
11076,31812,1043,4090,3368
11100,31836,1044,4090,3337
11110,31846,1045,4090,3323
11124,31860,1045,4090,3305
11140,31876,1044,4090,3286
11160,31896,1043,4090,3262
11172,31908,1043,4090,3248
11190,31926,1043,4090,3226
11204,31940,1044,4090,3207
11220,31956,1046,4090,3183
11239,31975,1045,4090,3159
11252,31988,1043,4090,3145
11270,32006,1042,4090,3123
11285,32021,1042,4090,3106
11300,32036,1043,4090,3087
11320,32056,1044,4090,3061
11332,32068,1045,4090,3045
11351,32087,1045,4090,3020
11364,32100,1045,4090,3002
11380,32116,1043,4090,2983
11400,32136,1042,4090,2960
11412,32148,1043,4090,2944
11430,32166,1044,4090,2920
11444,32180,1044,4090,2902
11460,32196,1045,4090,2880
11480,32216,1044,4090,2856
11510,32246,1043,4090,2819
11524,32260,1049,4090,2792
11550,32286,1065,4090,2721
11560,32296,1069,4090,2692
11573,32309,1070,4090,2655
11588,32324,1070,4090,2612
11610,32346,1065,4090,2556
11620,32356,1063,4090,2532
11636,32372,1061,4090,2495
11660,32396,1062,4090,2437
11670,32406,1063,4090,2412
11684,32420,1062,4090,2377
11710,32446,1065,4090,2309
11720,32456,1066,4090,2283
11733,32469,1066,4090,2250
11748,32484,1064,4090,2213
11763,32499,1064,4090,2174
11790,32526,1063,4090,2108
11800,32536,1063,4090,2083
11812,32548,1063,4090,2053
11830,32566,1065,4090,2006
11844,32580,1064,4090,1972
11860,32596,1062,4090,1934
11880,32616,1062,4090,1885
11892,32628,1063,4090,1856
11910,32646,1062,4090,1813
11924,32660,1063,4090,1778
11950,32686,1065,4090,1710
11960,32696,1064,4090,1686
11972,32708,1063,4090,1657
11990,32726,1064,4090,1611
12004,32740,1064,4090,1577
12030,32766,1063,4090,1513
12039,8,1064,4090,1487
12052,21,1066,4090,1453
12069,38,1065,4090,1411
12083,52,1063,4090,1376
12100,69,1063,4090,1334
12115,84,1063,4090,1298
12139,108,1063,4090,1239
12149,118,1063,4090,1214
12163,132,1065,4090,1177
12179,148,1064,4090,1139
12199,168,1063,4090,1089
12211,180,1065,4090,1056
12229,198,1065,4090,1012
12243,212,1063,4090,976
12259,228,1064,4090,935
12275,244,1065,4090,894
12299,268,1063,4090,835
12309,278,1063,4090,811
12323,292,1063,4090,776
12349,318,1064,4090,712
12359,328,1063,4090,686
12371,340,1064,4090,656
12387,356,1065,4090,613
12409,378,1063,4090,560
12419,388,1062,4090,536
12439,408,1064,4090,484
12451,420,1065,4090,455
12468,437,1063,4090,412
12483,452,1064,4090,375
12499,468,1066,4090,331
12515,484,1065,4090,293
12539,508,1062,4090,236
12549,518,1063,4090,211
12563,532,1064,4090,176
12579,548,1063,4090,137
12599,568,1064,4090,88
12611,580,1065,4090,56
12629,598,1065,4090,11
12643,612,1063,4090,4073
12659,628,1063,4090,4031
12679,648,1064,4090,3981
12691,660,1064,4090,3952
12709,678,1064,4090,3908
12723,692,1064,4090,3872
12739,708,1063,4090,3834
12759,728,1063,4090,3785
12771,740,1063,4090,3755
12789,758,1064,4090,3709
12803,772,1064,4090,3675
12829,798,1063,4090,3612
12839,808,1064,4090,3585
12851,820,1064,4090,3557
12869,838,1063,4090,3512
12883,852,1063,4090,3479
12909,878,1064,4090,3412
12919,888,1065,4090,3387
12931,900,1064,4090,3357
12949,918,1064,4090,3311
12963,932,1064,4090,3276
12989,958,1062,4090,3215
12999,968,1062,4090,3190
13012,981,1064,4090,3155
13027,996,1064,4090,3118
13050,1019,1063,4090,3061
13059,1028,1065,4090,3035
13079,1048,1065,4090,2984
13091,1060,1063,4090,2955
13110,1079,1062,4090,2910
13123,1092,1064,4090,2874
13139,1108,1064,4090,2834
13159,1128,1064,4090,2782
13171,1140,1065,4090,2750
13187,1156,1064,4090,2710
13209,1178,1062,4090,2658
13219,1188,1062,4090,2634
13239,1208,1064,4090,2583
13251,1220,1064,4090,2553
13269,1238,1063,4090,2509
13283,1252,1063,4090,2474
13309,1278,1065,4090,2405
13319,1288,1063,4090,2381
13332,1301,1064,4090,2348
13347,1316,1065,4090,2310
13369,1338,1064,4090,2254
13379,1348,1063,4090,2229
13400,1369,1064,4090,2176
13411,1380,1064,4090,2148
13429,1398,1063,4090,2106
13444,1413,1063,4090,2067
13469,1438,1064,4090,2003
13479,1448,1064,4090,1979
13491,1460,1063,4090,1950
13509,1478,1063,4090,1906
13523,1492,1063,4090,1871
13549,1518,1063,4090,1808
13559,1528,1063,4090,1784
13571,1540,1064,4090,1752
13589,1558,1065,4090,1707
13603,1572,1063,4090,1673
13619,1588,1064,4090,1632
13635,1604,1065,4090,1590
13659,1628,1063,4090,1533
13669,1638,1062,4090,1509
13683,1652,1064,4090,1473
13700,1669,1064,4090,1432
13715,1684,1064,4090,1393
13739,1708,1064,4090,1332
13749,1718,1065,4090,1307
13763,1732,1063,4090,1274
13789,1758,1063,4090,1210
13800,1769,1065,4090,1180
13811,1780,1064,4090,1154
13827,1796,1062,4090,1115
13850,1819,1064,4090,1058
13859,1828,1065,4090,1033
13875,1844,1064,4090,994
13899,1868,1064,4090,932
13909,1878,1065,4090,904
13924,1893,1065,4090,868
13939,1908,1063,4090,831
13959,1928,1063,4090,782
13971,1940,1063,4090,752
13989,1958,1064,4090,708
14003,1972,1063,4090,673
14019,1988,1064,4090,631
14035,2004,1065,4090,590
14059,2028,1063,4090,531
14069,2038,1064,4090,506
14083,2052,1065,4090,469
14099,2068,1064,4090,431
14119,2088,1062,4090,382
14131,2100,1065,4090,349
14149,2118,1065,4090,306
14162,2131,1062,4090,275
14189,2158,1066,4090,204
14199,2168,1065,4090,180
14211,2180,1065,4090,151
14228,2197,1062,4090,110
14243,2212,1063,4090,74
14269,2238,1065,4090,9
14279,2248,1064,4090,4080
14291,2260,1064,4090,4048
14310,2279,1065,4090,4001
14323,2292,1064,4090,3968
14339,2308,1063,4090,3929
14355,2324,1063,4090,3889
14379,2348,1064,4090,3830
14389,2358,1063,4090,3806
14403,2372,1063,4090,3771
14419,2388,1063,4090,3731
14439,2408,1063,4090,3682
14452,2421,1063,4090,3651
14469,2438,1064,4090,3607
14483,2452,1065,4090,3571
14509,2478,1063,4090,3508
14519,2488,1062,4090,3484
14531,2500,1063,4090,3453
14547,2516,1064,4090,3413
14569,2538,1062,4090,3360
14579,2548,1063,4090,3335
14595,2564,1064,4090,3294
14619,2588,1063,4090,3236
14629,2598,1063,4090,3211
14643,2612,1065,4090,3172
14659,2628,1065,4090,3132
14675,2644,1063,4090,3093
14699,2668,1064,4090,3031
14710,2679,1065,4090,3005
14723,2692,1065,4090,2971
14739,2708,1063,4090,2931
14755,2724,1065,4090,2888
14779,2748,1064,4090,2830
14789,2758,1063,4090,2804
14803,2772,1063,4090,2770
14819,2788,1064,4090,2727
14835,2804,1063,4090,2689
14859,2828,1063,4090,2630
14869,2838,1064,4090,2603
14883,2852,1064,4090,2569
14899,2868,1063,4090,2529
14915,2884,1063,4090,2490
14939,2908,1065,4090,2425
14950,2919,1065,4090,2398
